102826	2013
104596	2014
85753	2009
87433	2010
88928	2011
99000	2012
58746	2005
65090	2006
24446	2007
76301	2008
29643	2001
29644	2002
29645	2003
29646	2004
53358	1997
56280	1998
57577	1999
58708	2000
47232	1993
50409	1994
51634	1995
53091	1996
16660	1989
18095	1990
19253	1991
20544	1992
38069	1985
36646	1986
34430	1987
36035	1988
43425	1981
42687	1982
41698	1983
40205	1984
30856	1978
32657	1979
33079	1980
44541	1981
4938	1975
5677	1976
5555	1977
3996	1973
4327	1974
2921	1970
3110	1971
3396	1972
26907	1965
28015	1966
28338	1967
28738	1968
29333	1969
26787	1964
8045	1961
9082	1962
9138	1963
11029	1957
11162	1958
11685	1959
12061	1960
12074	1961
9829	1953
10096	1954
10416	1955
10593	1956
13293	1949
13567	1950
14017	1951
14418	1952
14379	1953
12467	1946
12762	1947
13005	1948
16595	1945
16092	1941
16253	1942
16386	1943
16518	1944
15336	1937
15517	1938
15684	1939
15856	1940
14683	1934
14890	1935
15095	1936
22021	1929
22458	1930
22933	1931
23376	1932
29566	1925
29567	1926
29568	1927
29569	1928
29564	1923
29565	1924
29562	1921
29563	1922
29558	1917
29559	1918
29560	1919
29561	1920
29554	1913
29555	1914
29556	1915
29557	1916
29550	1909
29551	1910
29552	1911
29553	1912
29546	1905
29547	1906
29548	1907
29549	1908
29542	1901
29543	1902
29544	1903
29545	1904
29538	1897
29539	1898
29540	1899
29541	1900
29534	1893
29535	1894
29536	1895
29537	1896
29530	1889
29531	1890
29532	1891
29533	1892
29526	1885
29527	1886
29528	1887
29529	1888
29522	1881
29523	1882
29524	1883
29525	1884
29518	1877
29519	1878
29520	1879
29521	1880
29514	1873
29515	1874
29516	1875
29517	1876
29510	1869
29511	1870
29512	1871
29513	1872
29506	1865
29507	1866
29508	1867
29509	1868
29502	1861
29503	1862
29504	1863
29505	1864
29498	1857
29499	1858
29500	1859
29501	1860
29494	1853
29495	1854
29496	1855
29497	1856
29491	1850
29492	1851
29493	1852
29490	1849
29486	1845
29487	1846
29488	1847
29489	1848
29483	1841
29484	1842
29647	1843
29485	1844
29479	1837
29480	1838
29481	1839
29482	1840
29475	1833
29476	1834
29477	1835
29478	1836
29471	1829
29472	1830
29473	1831
29474	1832
29467	1825
29468	1826
29469	1827
29470	1828
29463	1821
29464	1822
29465	1823
29466	1824
29459	1817
29460	1818
29461	1819
29462	1820
29455	1813
29456	1814
29457	1815
29458	1816
29451	1809
29452	1810
29453	1811
29454	1812
29447	1805
29448	1806
29449	1807
29450	1808
29443	1801
29444	1802
29445	1803
29446	1804
29439	1797
29440	1798
29441	1799
29442	1800
29435	1793
29436	1794
29437	1795
29438	1796
29431	1790
29433	1791
29434	1792
